IDENTIFIER,GRAMMAR_PATTERN,CONTEXT
darn coord buffer,NM NM N,CLASS
eyepatch coord buffer,NM NM N,CLASS
bandage coord buffer,NM NM N,CLASS
from waiter,P N,PARAMETER
from host,P N,PARAMETER
political_platform string,NM N,DECLARATION
political_program string,NM N,DECLARATION
program string,NM N,DECLARATION
weapons_platform string,NM N,DECLARATION
chopine string,NM N,DECLARATION
platform twine,NM N,DECLARATION
platform bowed_stringed_instrument,NM N,DECLARATION
platform train,NM N,DECLARATION
platform drawstring,NM N,DECLARATION
platform drawing_string,NM N,DECLARATION
platform cosmic_string,NM N,DECLARATION
platform chain,NM N,DECLARATION
platform strand,NM N,DECLARATION
binary hunt bytes,NM N NPL,FUNCTION
binary hunting bytes,NM N NPL,FUNCTION
binary lookup bytes,NM N NPL,FUNCTION
binary_star search bytes,NM N NPL,FUNCTION
double_star search bytes,NM N NPL,FUNCTION
binary_program search bytes,NM N NPL,FUNCTION
add logarithm to stream,V N P N,FUNCTION
append log to stream,V N P N,FUNCTION
supply log to stream,V N P N,FUNCTION
lend log to stream,V N P N,FUNCTION
impart log to stream,V N P N,FUNCTION
bestow log to stream,V N P N,FUNCTION
contribute log to stream,V N P N,FUNCTION
bring log to stream,V N P N,FUNCTION
add_together log to stream,V N P N,FUNCTION
total log to stream,V N P N,FUNCTION
tot log to stream,V N P N,FUNCTION
tot_up log to stream,V N P N,FUNCTION
sum log to stream,V N P N,FUNCTION
sum_up log to stream,V N P N,FUNCTION
summate log to stream,V N P N,FUNCTION
tote_up log to stream,V N P N,FUNCTION
tally log to stream,V N P N,FUNCTION
add_up log to stream,V N P N,FUNCTION
add log to watercourse,V N P N,FUNCTION
add log to flow,V N P N,FUNCTION
add log to current,V N P N,FUNCTION
ico lade layer,PRE V N,FUNCTION
ico laden layer,PRE V N,FUNCTION
ico load_up layer,PRE V N,FUNCTION
ico charge layer,PRE V N,FUNCTION
ico adulterate layer,PRE V N,FUNCTION
ico stretch layer,PRE V N,FUNCTION
ico dilute layer,PRE V N,FUNCTION
ico debase layer,PRE V N,FUNCTION
ico load bed,PRE V N,FUNCTION
ico load level,PRE V N,FUNCTION
ico load stratum,PRE V N,FUNCTION
idle hold,NM N,ATTRIBUTE
idle time_lag,NM N,ATTRIBUTE
idle postponement,NM N,ATTRIBUTE
idle wait,NM N,ATTRIBUTE
idle holdup,NM N,ATTRIBUTE
rolling clash demo,NM NM N,CLASS
rolling rubbing demo,NM NM N,CLASS
rolling detrition demo,NM NM N,CLASS
peal friction demo,NM NM N,CLASS
pealing friction demo,NM NM N,CLASS
roll friction demo,NM NM N,CLASS
wheeling friction demo,NM NM N,CLASS
rolling friction demonstration,NM NM N,CLASS
mp4 input_signal,NM N,CLASS
mp4 remark,NM N,CLASS
mp4 comment,NM N,CLASS
mp4 stimulation,NM N,CLASS
mp4 stimulant,NM N,CLASS
Idaho lumninance min,NM NM N,ATTRIBUTE
Gem_State lumninance min,NM NM N,ATTRIBUTE
ID lumninance min,NM NM N,ATTRIBUTE
I.D. lumninance min,NM NM N,ATTRIBUTE
id lumninance minute,NM NM N,ATTRIBUTE
id lumninance Min,NM NM N,ATTRIBUTE
id lumninance Min_dialect,NM NM N,ATTRIBUTE
id lumninance Fukien,NM NM N,ATTRIBUTE
id lumninance Amoy,NM NM N,ATTRIBUTE
get source figure,NM NM N,ATTRIBUTE
get source public_figure,NM NM N,ATTRIBUTE
get source epithet,NM NM N,ATTRIBUTE
get beginning name,NM NM N,ATTRIBUTE
get origin name,NM NM N,ATTRIBUTE
get root name,NM NM N,ATTRIBUTE
get rootage name,NM NM N,ATTRIBUTE
get seed name,NM NM N,ATTRIBUTE
get germ name,NM NM N,ATTRIBUTE
get informant name,NM NM N,ATTRIBUTE
get generator name,NM NM N,ATTRIBUTE
get author name,NM NM N,ATTRIBUTE
get reservoir name,NM NM N,ATTRIBUTE
get reference name,NM NM N,ATTRIBUTE
color conversion scheme,NM NM N,ATTRIBUTE
color conversion arrangement,NM NM N,ATTRIBUTE
color conversion organization,NM NM N,ATTRIBUTE
color conversion organisation,NM NM N,ATTRIBUTE
color transition system,NM NM N,ATTRIBUTE
color changeover system,NM NM N,ATTRIBUTE
color rebirth system,NM NM N,ATTRIBUTE
color spiritual_rebirth system,NM NM N,ATTRIBUTE
colour conversion system,NM NM N,ATTRIBUTE
coloring conversion system,NM NM N,ATTRIBUTE
colouring conversion system,NM NM N,ATTRIBUTE
coloration conversion system,NM NM N,ATTRIBUTE
colouration conversion system,NM NM N,ATTRIBUTE
people_of_color conversion system,NM NM N,ATTRIBUTE
people_of_colour conversion system,NM NM N,ATTRIBUTE
semblance conversion system,NM NM N,ATTRIBUTE
coloring_material conversion system,NM NM N,ATTRIBUTE
colouring_material conversion system,NM NM N,ATTRIBUTE
nonpayment flags,NM NPL,ATTRIBUTE
nonremittal flags,NM NPL,ATTRIBUTE
default_option flags,NM NPL,ATTRIBUTE
country info dialog t,NM NM NM N,CLASS
region info dialog t,NM NM NM N,CLASS
sphere info dialog t,NM NM NM N,CLASS
domain info dialog t,NM NM NM N,CLASS
orbit info dialog t,NM NM NM N,CLASS
field info dialog t,NM NM NM N,CLASS
arena info dialog t,NM NM NM N,CLASS
expanse info dialog t,NM NM NM N,CLASS
surface_area info dialog t,NM NM NM N,CLASS
area info dialog thymine,NM NM NM N,CLASS
area info dialog T,NM NM NM N,CLASS
area info dialog deoxythymidine_monophosphate,NM NM NM N,CLASS
area info dialog metric_ton,NM NM NM N,CLASS
area info dialog MT,NM NM NM N,CLASS
area info dialog tonne,NM NM NM N,CLASS
area info dialog triiodothyronine,NM NM NM N,CLASS
area info dialog liothyronine,NM NM NM N,CLASS
area info dialog thyroxine,NM NM NM N,CLASS
area info dialog thyroxin,NM NM NM N,CLASS
area info dialog tetraiodothyronine,NM NM NM N,CLASS
area info dialogue t,NM NM NM N,CLASS
area info duologue t,NM NM NM N,CLASS
acquire actual values,V NM NPL,FUNCTION
become actual values,V NM NPL,FUNCTION
go actual values,V NM NPL,FUNCTION
let actual values,V NM NPL,FUNCTION
have actual values,V NM NPL,FUNCTION
receive actual values,V NM NPL,FUNCTION
find actual values,V NM NPL,FUNCTION
obtain actual values,V NM NPL,FUNCTION
incur actual values,V NM NPL,FUNCTION
arrive actual values,V NM NPL,FUNCTION
come actual values,V NM NPL,FUNCTION
bring actual values,V NM NPL,FUNCTION
convey actual values,V NM NPL,FUNCTION
fetch actual values,V NM NPL,FUNCTION
experience actual values,V NM NPL,FUNCTION
pay_back actual values,V NM NPL,FUNCTION
pay_off actual values,V NM NPL,FUNCTION
fix actual values,V NM NPL,FUNCTION
make actual values,V NM NPL,FUNCTION
induce actual values,V NM NPL,FUNCTION
stimulate actual values,V NM NPL,FUNCTION
cause actual values,V NM NPL,FUNCTION
catch actual values,V NM NPL,FUNCTION
capture actual values,V NM NPL,FUNCTION
grow actual values,V NM NPL,FUNCTION
develop actual values,V NM NPL,FUNCTION
produce actual values,V NM NPL,FUNCTION
contract actual values,V NM NPL,FUNCTION
take actual values,V NM NPL,FUNCTION
drive actual values,V NM NPL,FUNCTION
aim actual values,V NM NPL,FUNCTION
arrest actual values,V NM NPL,FUNCTION
scram actual values,V NM NPL,FUNCTION
buzz_off actual values,V NM NPL,FUNCTION
fuck_off actual values,V NM NPL,FUNCTION
bugger_off actual values,V NM NPL,FUNCTION
get_under_one's_skin actual values,V NM NPL,FUNCTION
draw actual values,V NM NPL,FUNCTION
perplex actual values,V NM NPL,FUNCTION
vex actual values,V NM NPL,FUNCTION
stick actual values,V NM NPL,FUNCTION
puzzle actual values,V NM NPL,FUNCTION
mystify actual values,V NM NPL,FUNCTION
baffle actual values,V NM NPL,FUNCTION
beat actual values,V NM NPL,FUNCTION
pose actual values,V NM NPL,FUNCTION
bewilder actual values,V NM NPL,FUNCTION
flummox actual values,V NM NPL,FUNCTION
stupefy actual values,V NM NPL,FUNCTION
nonplus actual values,V NM NPL,FUNCTION
gravel actual values,V NM NPL,FUNCTION
amaze actual values,V NM NPL,FUNCTION
dumbfound actual values,V NM NPL,FUNCTION
get_down actual values,V NM NPL,FUNCTION
begin actual values,V NM NPL,FUNCTION
start_out actual values,V NM NPL,FUNCTION
start actual values,V NM NPL,FUNCTION
set_about actual values,V NM NPL,FUNCTION
set_out actual values,V NM NPL,FUNCTION
commence actual values,V NM NPL,FUNCTION
suffer actual values,V NM NPL,FUNCTION
sustain actual values,V NM NPL,FUNCTION
beget actual values,V NM NPL,FUNCTION
engender actual values,V NM NPL,FUNCTION
father actual values,V NM NPL,FUNCTION
mother actual values,V NM NPL,FUNCTION
sire actual values,V NM NPL,FUNCTION
generate actual values,V NM NPL,FUNCTION
bring_forth actual values,V NM NPL,FUNCTION
env vars slave info display figure,NM NM NM NM NM N,CLASS
env vars slave info display public_figure,NM NM NM NM NM N,CLASS
env vars slave info display epithet,NM NM NM NM NM N,CLASS
env vars striver info display name,NM NM NM NM NM N,CLASS
env vars hard_worker info display name,NM NM NM NM NM N,CLASS
env vars slave info show name,NM NM NM NM NM N,CLASS
env vars slave info exhibit name,NM NM NM NM NM N,CLASS
env vars slave info showing name,NM NM NM NM NM N,CLASS
env vars slave info presentation name,NM NM NM NM NM N,CLASS
env vars slave info video_display name,NM NM NM NM NM N,CLASS
m is indx present_tense,PRE V NM N,ATTRIBUTE
m be indx present,PRE V NM N,ATTRIBUTE
m exist indx present,PRE V NM N,ATTRIBUTE
m equal indx present,PRE V NM N,ATTRIBUTE
m constitute indx present,PRE V NM N,ATTRIBUTE
m represent indx present,PRE V NM N,ATTRIBUTE
m make_up indx present,PRE V NM N,ATTRIBUTE
m comprise indx present,PRE V NM N,ATTRIBUTE
m follow indx present,PRE V NM N,ATTRIBUTE
m embody indx present,PRE V NM N,ATTRIBUTE
m personify indx present,PRE V NM N,ATTRIBUTE
m live indx present,PRE V NM N,ATTRIBUTE
m cost indx present,PRE V NM N,ATTRIBUTE
set human_body pen,V NM N,FUNCTION
set physical_body pen,V NM N,FUNCTION
set material_body pen,V NM N,FUNCTION
set soma pen,V NM N,FUNCTION
set build pen,V NM N,FUNCTION
set figure pen,V NM N,FUNCTION
set physique pen,V NM N,FUNCTION
set anatomy pen,V NM N,FUNCTION
set shape pen,V NM N,FUNCTION
set bod pen,V NM N,FUNCTION
set form pen,V NM N,FUNCTION
set flesh pen,V NM N,FUNCTION
set inning pen,V NM N,FUNCTION
set frame_of_reference pen,V NM N,FUNCTION
set skeletal_system pen,V NM N,FUNCTION
set skeleton pen,V NM N,FUNCTION
set systema_skeletale pen,V NM N,FUNCTION
set skeletal_frame pen,V NM N,FUNCTION
set underframe pen,V NM N,FUNCTION
set framing pen,V NM N,FUNCTION
put frame pen,V NM N,FUNCTION
place frame pen,V NM N,FUNCTION
pose frame pen,V NM N,FUNCTION
position frame pen,V NM N,FUNCTION
lay frame pen,V NM N,FUNCTION
determine frame pen,V NM N,FUNCTION
specify frame pen,V NM N,FUNCTION
define frame pen,V NM N,FUNCTION
fix frame pen,V NM N,FUNCTION
limit frame pen,V NM N,FUNCTION
mark frame pen,V NM N,FUNCTION
prepare frame pen,V NM N,FUNCTION
set_up frame pen,V NM N,FUNCTION
ready frame pen,V NM N,FUNCTION
gear_up frame pen,V NM N,FUNCTION
localize frame pen,V NM N,FUNCTION
localise frame pen,V NM N,FUNCTION
go_down frame pen,V NM N,FUNCTION
go_under frame pen,V NM N,FUNCTION
arrange frame pen,V NM N,FUNCTION
plant frame pen,V NM N,FUNCTION
jell frame pen,V NM N,FUNCTION
congeal frame pen,V NM N,FUNCTION
typeset frame pen,V NM N,FUNCTION
countersink frame pen,V NM N,FUNCTION
sic frame pen,V NM N,FUNCTION
rig frame pen,V NM N,FUNCTION
lay_out frame pen,V NM N,FUNCTION
adjust frame pen,V NM N,FUNCTION
correct frame pen,V NM N,FUNCTION
fructify frame pen,V NM N,FUNCTION
dress frame pen,V NM N,FUNCTION
do frame pen,V NM N,FUNCTION
coif frame pen,V NM N,FUNCTION
coiffe frame pen,V NM N,FUNCTION
coiffure frame pen,V NM N,FUNCTION
set frame playpen,V NM N,FUNCTION
set frame penitentiary,V NM N,FUNCTION
tex Idaho,NM N,PARAMETER
tex Gem_State,NM N,PARAMETER
tex ID,NM N,PARAMETER
tex I.D.,NM N,PARAMETER
next argumentation,NM N,PARAMETER
next logical_argument,NM N,PARAMETER
next argument,NM N,PARAMETER
next line_of_reasoning,NM N,PARAMETER
next cable,NM N,PARAMETER
next transmission_line,NM N,PARAMETER
next course,NM N,PARAMETER
next wrinkle,NM N,PARAMETER
next furrow,NM N,PARAMETER
next crease,NM N,PARAMETER
next crinkle,NM N,PARAMETER
next seam,NM N,PARAMETER
next pipeline,NM N,PARAMETER
next railway_line,NM N,PARAMETER
next rail_line,NM N,PARAMETER
next telephone_line,NM N,PARAMETER
next phone_line,NM N,PARAMETER
next telephone_circuit,NM N,PARAMETER
next subscriber_line,NM N,PARAMETER
next lineage,NM N,PARAMETER
next line_of_descent,NM N,PARAMETER
next descent,NM N,PARAMETER
next bloodline,NM N,PARAMETER
next blood_line,NM N,PARAMETER
next blood,NM N,PARAMETER
next pedigree,NM N,PARAMETER
next ancestry,NM N,PARAMETER
next origin,NM N,PARAMETER
next parentage,NM N,PARAMETER
next stemma,NM N,PARAMETER
next stock,NM N,PARAMETER
next occupation,NM N,PARAMETER
next job,NM N,PARAMETER
next line_of_work,NM N,PARAMETER
next channel,NM N,PARAMETER
next communication_channel,NM N,PARAMETER
next product_line,NM N,PARAMETER
next line_of_merchandise,NM N,PARAMETER
next business_line,NM N,PARAMETER
next agate_line,NM N,PARAMETER
next credit_line,NM N,PARAMETER
next line_of_credit,NM N,PARAMETER
next bank_line,NM N,PARAMETER
next personal_credit_line,NM N,PARAMETER
next personal_line_of_credit,NM N,PARAMETER
next tune,NM N,PARAMETER
next melody,NM N,PARAMETER
next air,NM N,PARAMETER
next strain,NM N,PARAMETER
next melodic_line,NM N,PARAMETER
next melodic_phrase,NM N,PARAMETER
next note,NM N,PARAMETER
next short_letter,NM N,PARAMETER
next billet,NM N,PARAMETER
next dividing_line,NM N,PARAMETER
next demarcation,NM N,PARAMETER
next contrast,NM N,PARAMETER
next production_line,NM N,PARAMETER
next assembly_line,NM N,PARAMETER
decrease indices,NM NPL,ATTRIBUTE
diminution indices,NM NPL,ATTRIBUTE
step-down indices,NM NPL,ATTRIBUTE
reducing indices,NM NPL,ATTRIBUTE
simplification indices,NM NPL,ATTRIBUTE
ten 2,N D,DECLARATION
10 2,N D,DECLARATION
X 2,N D,DECLARATION
tenner 2,N D,DECLARATION
decade 2,N D,DECLARATION
ex 2,N D,DECLARATION
Adam 2,N D,DECLARATION
ecstasy 2,N D,DECLARATION
XTC 2,N D,DECLARATION
go 2,N D,DECLARATION
disco_biscuit 2,N D,DECLARATION
cristal 2,N D,DECLARATION
hug_drug 2,N D,DECLARATION
app Idaho,NM N,PARAMETER
app Gem_State,NM N,PARAMETER
app ID,NM N,PARAMETER
app I.D.,NM N,PARAMETER
edit counting,NM N,ATTRIBUTE
edit numeration,NM N,ATTRIBUTE
edit enumeration,NM N,ATTRIBUTE
edit reckoning,NM N,ATTRIBUTE
edit tally,NM N,ATTRIBUTE
parent had big alteration,N V NM N,PARAMETER
parent had big modification,N V NM N,PARAMETER
parent had big variety,N V NM N,PARAMETER
parent have big change,N V NM N,PARAMETER
parent have_got big change,N V NM N,PARAMETER
parent hold big change,N V NM N,PARAMETER
parent feature big change,N V NM N,PARAMETER
parent experience big change,N V NM N,PARAMETER
parent receive big change,N V NM N,PARAMETER
parent get big change,N V NM N,PARAMETER
parent own big change,N V NM N,PARAMETER
parent possess big change,N V NM N,PARAMETER
parent let big change,N V NM N,PARAMETER
parent consume big change,N V NM N,PARAMETER
parent ingest big change,N V NM N,PARAMETER
parent take_in big change,N V NM N,PARAMETER
parent take big change,N V NM N,PARAMETER
parent throw big change,N V NM N,PARAMETER
parent make big change,N V NM N,PARAMETER
parent give big change,N V NM N,PARAMETER
parent induce big change,N V NM N,PARAMETER
parent stimulate big change,N V NM N,PARAMETER
parent cause big change,N V NM N,PARAMETER
parent accept big change,N V NM N,PARAMETER
parent suffer big change,N V NM N,PARAMETER
parent sustain big change,N V NM N,PARAMETER
parent give_birth big change,N V NM N,PARAMETER
parent deliver big change,N V NM N,PARAMETER
parent bear big change,N V NM N,PARAMETER
parent birth big change,N V NM N,PARAMETER
android byte buddy mock shaper,NM NM NM NM N,CLASS
android byte buddy mock Godhead,NM NM NM NM N,CLASS
android byte buddy mock Lord,NM NM NM NM N,CLASS
android byte buddy mock Creator,NM NM NM NM N,CLASS
android byte buddy mock Maker,NM NM NM NM N,CLASS
android byte buddy mock Divine,NM NM NM NM N,CLASS
android byte buddy mock God_Almighty,NM NM NM NM N,CLASS
android byte buddy mock Almighty,NM NM NM NM N,CLASS
android byte buddy mock Jehovah,NM NM NM NM N,CLASS
android byte buddy mock manufacturer,NM NM NM NM N,CLASS
humanoid byte buddy mock maker,NM NM NM NM N,CLASS
mechanical_man byte buddy mock maker,NM NM NM NM N,CLASS
android byte brother mock maker,NM NM NM NM N,CLASS
android byte chum mock maker,NM NM NM NM N,CLASS
android byte crony mock maker,NM NM NM NM N,CLASS
android byte pal mock maker,NM NM NM NM N,CLASS
android byte sidekick mock maker,NM NM NM NM N,CLASS
m argumentation dash offset,PRE NM NM N,ATTRIBUTE
m logical_argument dash offset,PRE NM NM N,ATTRIBUTE
m argument dash offset,PRE NM NM N,ATTRIBUTE
m line_of_reasoning dash offset,PRE NM NM N,ATTRIBUTE
m cable dash offset,PRE NM NM N,ATTRIBUTE
m transmission_line dash offset,PRE NM NM N,ATTRIBUTE
m course dash offset,PRE NM NM N,ATTRIBUTE
m wrinkle dash offset,PRE NM NM N,ATTRIBUTE
m furrow dash offset,PRE NM NM N,ATTRIBUTE
m crease dash offset,PRE NM NM N,ATTRIBUTE
m crinkle dash offset,PRE NM NM N,ATTRIBUTE
m seam dash offset,PRE NM NM N,ATTRIBUTE
m pipeline dash offset,PRE NM NM N,ATTRIBUTE
m railway_line dash offset,PRE NM NM N,ATTRIBUTE
m rail_line dash offset,PRE NM NM N,ATTRIBUTE
m telephone_line dash offset,PRE NM NM N,ATTRIBUTE
m phone_line dash offset,PRE NM NM N,ATTRIBUTE
m telephone_circuit dash offset,PRE NM NM N,ATTRIBUTE
m subscriber_line dash offset,PRE NM NM N,ATTRIBUTE
m lineage dash offset,PRE NM NM N,ATTRIBUTE
m line_of_descent dash offset,PRE NM NM N,ATTRIBUTE
m descent dash offset,PRE NM NM N,ATTRIBUTE
m bloodline dash offset,PRE NM NM N,ATTRIBUTE
m blood_line dash offset,PRE NM NM N,ATTRIBUTE
m blood dash offset,PRE NM NM N,ATTRIBUTE
m pedigree dash offset,PRE NM NM N,ATTRIBUTE
m ancestry dash offset,PRE NM NM N,ATTRIBUTE
m origin dash offset,PRE NM NM N,ATTRIBUTE
m parentage dash offset,PRE NM NM N,ATTRIBUTE
m stemma dash offset,PRE NM NM N,ATTRIBUTE
m stock dash offset,PRE NM NM N,ATTRIBUTE
m occupation dash offset,PRE NM NM N,ATTRIBUTE
m job dash offset,PRE NM NM N,ATTRIBUTE
m line_of_work dash offset,PRE NM NM N,ATTRIBUTE
m channel dash offset,PRE NM NM N,ATTRIBUTE
m communication_channel dash offset,PRE NM NM N,ATTRIBUTE
m product_line dash offset,PRE NM NM N,ATTRIBUTE
m line_of_merchandise dash offset,PRE NM NM N,ATTRIBUTE
m business_line dash offset,PRE NM NM N,ATTRIBUTE
m agate_line dash offset,PRE NM NM N,ATTRIBUTE
m credit_line dash offset,PRE NM NM N,ATTRIBUTE
m line_of_credit dash offset,PRE NM NM N,ATTRIBUTE
m bank_line dash offset,PRE NM NM N,ATTRIBUTE
m personal_credit_line dash offset,PRE NM NM N,ATTRIBUTE
m personal_line_of_credit dash offset,PRE NM NM N,ATTRIBUTE
m tune dash offset,PRE NM NM N,ATTRIBUTE
m melody dash offset,PRE NM NM N,ATTRIBUTE
m air dash offset,PRE NM NM N,ATTRIBUTE
m strain dash offset,PRE NM NM N,ATTRIBUTE
m melodic_line dash offset,PRE NM NM N,ATTRIBUTE
m melodic_phrase dash offset,PRE NM NM N,ATTRIBUTE
m note dash offset,PRE NM NM N,ATTRIBUTE
m short_letter dash offset,PRE NM NM N,ATTRIBUTE
m billet dash offset,PRE NM NM N,ATTRIBUTE
m dividing_line dash offset,PRE NM NM N,ATTRIBUTE
m demarcation dash offset,PRE NM NM N,ATTRIBUTE
m contrast dash offset,PRE NM NM N,ATTRIBUTE
m production_line dash offset,PRE NM NM N,ATTRIBUTE
m assembly_line dash offset,PRE NM NM N,ATTRIBUTE
m line dash beginning,PRE NM NM N,ATTRIBUTE
m line dash commencement,PRE NM NM N,ATTRIBUTE
m line dash first,PRE NM NM N,ATTRIBUTE
m line dash outset,PRE NM NM N,ATTRIBUTE
m line dash get-go,PRE NM NM N,ATTRIBUTE
m line dash start,PRE NM NM N,ATTRIBUTE
m line dash kickoff,PRE NM NM N,ATTRIBUTE
m line dash starting_time,PRE NM NM N,ATTRIBUTE
m line dash showtime,PRE NM NM N,ATTRIBUTE
m line dash counterbalance,PRE NM NM N,ATTRIBUTE
m line dash stolon,PRE NM NM N,ATTRIBUTE
m line dash runner,PRE NM NM N,ATTRIBUTE
m line dash outgrowth,PRE NM NM N,ATTRIBUTE
m line dash branch,PRE NM NM N,ATTRIBUTE
m line dash offshoot,PRE NM NM N,ATTRIBUTE
m line dash offset_printing,PRE NM NM N,ATTRIBUTE
m line dash set-back,PRE NM NM N,ATTRIBUTE
m line dash setoff,PRE NM NM N,ATTRIBUTE
m line elan offset,PRE NM NM N,ATTRIBUTE
m line flair offset,PRE NM NM N,ATTRIBUTE
m line panache offset,PRE NM NM N,ATTRIBUTE
m line style offset,PRE NM NM N,ATTRIBUTE
m line sprint offset,PRE NM NM N,ATTRIBUTE
m line hyphen offset,PRE NM NM N,ATTRIBUTE
m line dah offset,PRE NM NM N,ATTRIBUTE
m line bolt offset,PRE NM NM N,ATTRIBUTE
serialized word_form,NM N,CLASS
serialized signifier,NM N,CLASS
serialized descriptor,NM N,CLASS
serialized kind,NM N,CLASS
serialized sort,NM N,CLASS
serialized variety,NM N,CLASS
serialized shape,NM N,CLASS
serialized pattern,NM N,CLASS
serialized configuration,NM N,CLASS
serialized contour,NM N,CLASS
serialized conformation,NM N,CLASS
serialized human_body,NM N,CLASS
serialized physical_body,NM N,CLASS
serialized material_body,NM N,CLASS
serialized soma,NM N,CLASS
serialized build,NM N,CLASS
serialized figure,NM N,CLASS
serialized physique,NM N,CLASS
serialized anatomy,NM N,CLASS
serialized bod,NM N,CLASS
serialized frame,NM N,CLASS
serialized flesh,NM N,CLASS
serialized cast,NM N,CLASS
serialized variant,NM N,CLASS
serialized strain,NM N,CLASS
serialized var.,NM N,CLASS
serialized phase,NM N,CLASS
serialized grade,NM N,CLASS
serialized course,NM N,CLASS
serialized mannequin,NM N,CLASS
serialized manikin,NM N,CLASS
serialized mannikin,NM N,CLASS
serialized manakin,NM N,CLASS
inet socket computer_address,NM NM N,ATTRIBUTE
inet socket name_and_address,NM NM N,ATTRIBUTE
best B,NM N,DECLARATION
best B-complex_vitamin,NM N,DECLARATION
best B_complex,NM N,DECLARATION
best vitamin_B_complex,NM N,DECLARATION
best vitamin_B,NM N,DECLARATION
best B_vitamin,NM N,DECLARATION
best boron,NM N,DECLARATION
best atomic_number_5,NM N,DECLARATION
best Bel,NM N,DECLARATION
best barn,NM N,DECLARATION
best type_B,NM N,DECLARATION
best group_B,NM N,DECLARATION
topper b,NM N,DECLARATION
Best b,NM N,DECLARATION
C._H._Best b,NM N,DECLARATION
Charles_Herbert_Best b,NM N,DECLARATION
make duplicate change id,V NM NM N,FUNCTION
produce duplicate change id,V NM NM N,FUNCTION
create duplicate change Idaho,V NM NM N,FUNCTION
create duplicate change Gem_State,V NM NM N,FUNCTION
create duplicate change ID,V NM NM N,FUNCTION
create duplicate change I.D.,V NM NM N,FUNCTION
create duplicate alteration id,V NM NM N,FUNCTION
create duplicate modification id,V NM NM N,FUNCTION
create duplicate variety id,V NM NM N,FUNCTION
create extra change id,V NM NM N,FUNCTION
create duplication change id,V NM NM N,FUNCTION
png acquire unknown chunks,NM V NM NPL,FUNCTION
png become unknown chunks,NM V NM NPL,FUNCTION
png go unknown chunks,NM V NM NPL,FUNCTION
png let unknown chunks,NM V NM NPL,FUNCTION
png have unknown chunks,NM V NM NPL,FUNCTION
png receive unknown chunks,NM V NM NPL,FUNCTION
png find unknown chunks,NM V NM NPL,FUNCTION
png obtain unknown chunks,NM V NM NPL,FUNCTION
png incur unknown chunks,NM V NM NPL,FUNCTION
png arrive unknown chunks,NM V NM NPL,FUNCTION
png come unknown chunks,NM V NM NPL,FUNCTION
png bring unknown chunks,NM V NM NPL,FUNCTION
png convey unknown chunks,NM V NM NPL,FUNCTION
png fetch unknown chunks,NM V NM NPL,FUNCTION
png experience unknown chunks,NM V NM NPL,FUNCTION
png pay_back unknown chunks,NM V NM NPL,FUNCTION
png pay_off unknown chunks,NM V NM NPL,FUNCTION
png fix unknown chunks,NM V NM NPL,FUNCTION
png make unknown chunks,NM V NM NPL,FUNCTION
png induce unknown chunks,NM V NM NPL,FUNCTION
png stimulate unknown chunks,NM V NM NPL,FUNCTION
png cause unknown chunks,NM V NM NPL,FUNCTION
png catch unknown chunks,NM V NM NPL,FUNCTION
png capture unknown chunks,NM V NM NPL,FUNCTION
png grow unknown chunks,NM V NM NPL,FUNCTION
png develop unknown chunks,NM V NM NPL,FUNCTION
png produce unknown chunks,NM V NM NPL,FUNCTION
png contract unknown chunks,NM V NM NPL,FUNCTION
png take unknown chunks,NM V NM NPL,FUNCTION
png drive unknown chunks,NM V NM NPL,FUNCTION
png aim unknown chunks,NM V NM NPL,FUNCTION
png arrest unknown chunks,NM V NM NPL,FUNCTION
png scram unknown chunks,NM V NM NPL,FUNCTION
png buzz_off unknown chunks,NM V NM NPL,FUNCTION
png fuck_off unknown chunks,NM V NM NPL,FUNCTION
png bugger_off unknown chunks,NM V NM NPL,FUNCTION
png get_under_one's_skin unknown chunks,NM V NM NPL,FUNCTION
png draw unknown chunks,NM V NM NPL,FUNCTION
png perplex unknown chunks,NM V NM NPL,FUNCTION
png vex unknown chunks,NM V NM NPL,FUNCTION
png stick unknown chunks,NM V NM NPL,FUNCTION
png puzzle unknown chunks,NM V NM NPL,FUNCTION
png mystify unknown chunks,NM V NM NPL,FUNCTION
png baffle unknown chunks,NM V NM NPL,FUNCTION
png beat unknown chunks,NM V NM NPL,FUNCTION
png pose unknown chunks,NM V NM NPL,FUNCTION
png bewilder unknown chunks,NM V NM NPL,FUNCTION
png flummox unknown chunks,NM V NM NPL,FUNCTION
png stupefy unknown chunks,NM V NM NPL,FUNCTION
png nonplus unknown chunks,NM V NM NPL,FUNCTION
png gravel unknown chunks,NM V NM NPL,FUNCTION
png amaze unknown chunks,NM V NM NPL,FUNCTION
png dumbfound unknown chunks,NM V NM NPL,FUNCTION
png get_down unknown chunks,NM V NM NPL,FUNCTION
png begin unknown chunks,NM V NM NPL,FUNCTION
png start_out unknown chunks,NM V NM NPL,FUNCTION
png start unknown chunks,NM V NM NPL,FUNCTION
png set_about unknown chunks,NM V NM NPL,FUNCTION
png set_out unknown chunks,NM V NM NPL,FUNCTION
png commence unknown chunks,NM V NM NPL,FUNCTION
png suffer unknown chunks,NM V NM NPL,FUNCTION
png sustain unknown chunks,NM V NM NPL,FUNCTION
png beget unknown chunks,NM V NM NPL,FUNCTION
png engender unknown chunks,NM V NM NPL,FUNCTION
png father unknown chunks,NM V NM NPL,FUNCTION
